nctid,stop_date,stop_status,restart_date,restart_status,why_stopped,covid19_explicit,restart_expected
NCT03608878,2021-05-04,Terminated,NA,NA,"The biopsies in the first 5 screened patients were all negative for Globo-H, of which positive is required to include the patients.",FALSE,NA
NCT03844932,2021-05-04,Terminated,NA,NA,The Sublimity Board of Directors carefully evaluated the IA data: the 9.6% treatment remission difference for 75mg BID vs placebo (due to an increase in placebo response rate) was determined not sufficient to continue to fund the study,FALSE,NA
NCT03964025,2021-05-04,Withdrawn,NA,NA,project stopped by the sponsor,FALSE,NA
NCT04107714,2021-05-04,Terminated,NA,NA,The study was terminated due to a small number of study participants.,FALSE,NA
NCT04127123,2021-05-04,Withdrawn,NA,NA,Difficulty enrolling due to COVID closures,TRUE,FALSE
NCT04131959,2021-05-04,Terminated,NA,NA,Stalled study execution from the impact of the COVID-19 pandemic on the UK NHS,TRUE,FALSE
NCT04260893,2021-05-04,Terminated,NA,NA,Due to COVID19 adequate study monitoring wasn't possible by the Sponsor,TRUE,FALSE
NCT04344093,2021-05-04,Withdrawn,NA,NA,no participants enrolled,FALSE,NA
NCT04432597,2021-05-04,Suspended,2021-05-06,"Active, not recruiting",Halted by PI,FALSE,NA
NCT04469062,2021-05-04,Withdrawn,NA,NA,"The trial was terminated secondary to a business decision, the original scientific question rendered moot by the external scientific community.",FALSE,NA
NCT04816071,2021-05-04,Withdrawn,NA,NA,PI no longer wanted to do the study,FALSE,NA
NCT01049919,2021-05-05,Terminated,NA,NA,"Primary endpoint not met, remaining long-term follow-up not needed.",FALSE,NA
NCT02164175,2021-05-05,Withdrawn,NA,NA,Company acquired and trial was not pursued,FALSE,NA
NCT02721056,2021-05-05,Terminated,NA,NA,"The RP2D for intratumoral injection was determined. With the changing practice of medicine for HCC, it was decided to design an independent Phase II clinical study.",FALSE,NA
NCT02795715,2021-05-05,Withdrawn,NA,NA,Cessation of funding,FALSE,NA
NCT02805894,2021-05-05,Terminated,NA,NA,Prostate cancer treatment has greatly changed since the initiation of this trial and therefore we have stopped this trial to allow for further evaluation of the treatment landscape,FALSE,NA
NCT03111238,2021-05-05,Terminated,NA,NA,Stopped due to inactivity,FALSE,NA
NCT03111264,2021-05-05,Terminated,NA,NA,Covid-19 Closures & Lockdown,TRUE,FALSE
NCT03208244,2021-05-05,Terminated,NA,NA,"Protocol transitioned to standard of care, no funding available to support research work",FALSE,NA
NCT03586024,2021-05-05,Withdrawn,NA,NA,poor accrual,FALSE,NA
NCT03658109,2021-05-05,Terminated,NA,NA,Recruitment challenges due to COVID-19,TRUE,FALSE
NCT03780387,2021-05-05,Suspended,NA,NA,Suspended due to COVID-19 pandemic.,TRUE,FALSE
NCT03790449,2021-05-05,Terminated,NA,NA,"Due to the worldwide Covid-19 pandemic, all Belgian fertility clinics stopped offering IVF as of March 13th 2020. We had to stop recruitment and follow-up of study subjects. We therefore adjusted our primary outcome to time to ongoing pregnancy.",TRUE,FALSE
NCT03808714,2021-05-05,Terminated,NA,NA,Difficulties in recruitment due to COVID-19,TRUE,FALSE
NCT03816332,2021-05-05,Suspended,2021-06-22,Recruiting,Scheduled Interim Monitoring,FALSE,NA
NCT03842969,2021-05-05,Suspended,2021-06-01,Recruiting,"Dosing in study BN40955 was paused on 22 March 2021, following a meeting of the Independent Data Monitoring Committee on the 18 March 2021, established for study BN40423. All participants will continue to be monitored for safety and efficacy outcomes",FALSE,NA
NCT03971617,2021-05-05,Terminated,NA,NA,Insufficient enrollment to answer research question,FALSE,NA
NCT04083651,2021-05-05,Withdrawn,NA,NA,Due to pandemic challenges and consideration of a different study design in the future.,TRUE,FALSE
NCT04151719,2021-05-05,Withdrawn,NA,NA,Due to pandemic challenges and consideration of a different study design in the future.,TRUE,FALSE
NCT04331561,2021-05-05,Suspended,NA,NA,Due to COVID,TRUE,FALSE
NCT04531748,2021-05-05,Withdrawn,NA,NA,Funding,FALSE,NA
NCT04721743,2021-05-05,Withdrawn,NA,NA,No participants were enrolled. Investigator left NIH.,FALSE,NA
NCT04880369,2021-05-05,Withdrawn,NA,NA,Disapproved by relevant Danish ethical committee,FALSE,NA
NCT03379259,2021-05-06,Terminated,NA,NA,Study Was Terminated Early,FALSE,NA
NCT03380104,2021-05-06,Withdrawn,NA,NA,Unable to obtain FDA IDE approval. Currently working on additional preclinical testing.,FALSE,NA
NCT03438513,2021-05-06,Withdrawn,NA,NA,"Still no inclusion 10 months after the implementation visit. The study is outdated. Since, there has been ""Alzheimer Plan"" and establishment of external structures identical to the research project.",FALSE,NA
NCT03523260,2021-05-06,Withdrawn,NA,NA,Never funded,FALSE,NA
NCT03575975,2021-05-06,Terminated,NA,NA,Study was terminated due to lack of funding and unforeseen delays.,FALSE,NA
NCT03658213,2021-05-06,Withdrawn,NA,NA,"CTP of LARES has been out of the expire date, we are trying RWS pathway for the indication expend",FALSE,NA
NCT04344236,2021-05-06,Withdrawn,NA,NA,This study was withdrawn by the institution to minimize risk to patients and staff with regard to COVID-19.,TRUE,FALSE
NCT04358471,2021-05-06,Withdrawn,NA,NA,The AAVCAGsCD59 asset has been transferred to Janssen Research and Development LLC,FALSE,NA
NCT04385264,2021-05-06,Suspended,NA,NA,Sufficient number of subjects would probably not reach,FALSE,NA
NCT04473027,2021-05-06,Terminated,NA,NA,Low patient inclusion,FALSE,NA
NCT04682301,2021-05-06,Suspended,2021-05-12,Enrolling by invitation,Suspended for administrative activation,FALSE,NA
NCT03615469,2021-05-07,Terminated,NA,NA,Low recruitment numbers,FALSE,NA
NCT03863522,2021-05-07,Terminated,NA,NA,Inadequate FNA samples (low cell counts),FALSE,NA
NCT04335565,2021-05-07,Withdrawn,NA,NA,The study has been terminated due to the pandemic.,TRUE,FALSE
NCT04339530,2021-05-07,Suspended,NA,NA,This study is suspended until further notice. Recruitment should resume when COVID-19 safety restrictions are lifted.,TRUE,TRUE
NCT04432610,2021-05-07,Withdrawn,2021-07-23,Not yet recruiting,COVID pandemic,TRUE,FALSE
NCT04575818,2021-05-07,Terminated,NA,NA,Development of compound has been stopped,FALSE,NA
NCT04746430,2021-05-07,Terminated,NA,NA,Too few patients,FALSE,NA
NCT04468789,2021-05-08,Withdrawn,NA,NA,The South African government decided not to implement the pilot project for which this protocol was the evaluation. It was not approved by the IRB and never started.,FALSE,NA
NCT04882423,2021-05-08,Terminated,NA,NA,PI left the university,FALSE,NA
NCT01562626,2021-05-10,Suspended,NA,NA,NA,FALSE,NA
NCT02621333,2021-05-10,Terminated,NA,NA,As there are so many clinical trials in progress and the number of patients enrolled limited.,FALSE,NA
NCT02650284,2021-05-10,Terminated,NA,NA,Participant recruitment difficulties. Ruling to terminate study made Oct 2019,FALSE,NA
NCT02986646,2021-05-10,Terminated,NA,NA,Low enrollment,FALSE,NA
NCT03175887,2021-05-10,Withdrawn,NA,NA,PI's discretion due to needing to modify study protocol.,FALSE,NA
NCT03605212,2021-05-10,Terminated,NA,NA,The study was stopped as per EMA waiver granted on 20July2018.,FALSE,NA
NCT03650140,2021-05-10,Suspended,NA,NA,Suspended due to COVID-19,TRUE,FALSE
NCT03775590,2021-05-10,Terminated,NA,NA,Study closed due to lack of enrollment.,FALSE,NA
NCT03807349,2021-05-10,Terminated,NA,NA,"Sponsor will not pursue CE mark for this product, which precludes need for large PMCF study.",FALSE,NA
NCT03830892,2021-05-10,Terminated,NA,NA,Study terminated due to COVID,TRUE,FALSE
NCT03870477,2021-05-10,Terminated,NA,NA,Business decision to remove product from portfolio.,FALSE,NA
NCT04075721,2021-05-10,Terminated,NA,NA,"The study was discontinued given the changed therapeutic landscape, lack of recruitment and totality of the data collected so far.",FALSE,NA
NCT04103775,2021-05-10,Terminated,NA,NA,Recruitment and intervention halted due to Covid-19 pandemic.,TRUE,FALSE
NCT04108286,2021-05-10,Withdrawn,NA,NA,Study was withdrawn due to COVID-19 and country restrictions,TRUE,FALSE
NCT04397042,2021-05-10,Suspended,NA,NA,pandemic,TRUE,FALSE
NCT04464967,2021-05-10,Withdrawn,NA,NA,Trial not initiated,FALSE,NA
NCT04611776,2021-05-10,Withdrawn,NA,NA,The positive results from IMpower010 demonstrated benefit by adding atezolizumab as adjuvant therapy in early stage NSCLC. These results raised ethical concerns of enrolling pts to best supportive care over checkpoint inhibition in this setting.,FALSE,NA
NCT04840927,2021-05-10,Suspended,NA,NA,Delay in availability of IMP,FALSE,NA
NCT04854044,2021-05-10,Withdrawn,NA,NA,The P.I. is not prepared to move forward at this thime,FALSE,NA
NCT04884126,2021-05-10,Suspended,NA,NA,NA,FALSE,NA
NCT01429012,2021-05-11,Withdrawn,NA,NA,NA,FALSE,NA
NCT01540292,2021-05-11,Terminated,NA,NA,NA,FALSE,NA
NCT02585167,2021-05-11,Terminated,NA,NA,The significantly higher recurrence rate in the intervention group led to a serious ethical consideration of a premature closing of the study which was decided due to safety and benefit concerns,FALSE,NA
NCT02731118,2021-05-11,Terminated,NA,NA,Difficulty recruiting patients and no effect on preliminary analysis,FALSE,NA
NCT03289078,2021-05-11,Withdrawn,NA,NA,No financing,FALSE,NA
NCT03445806,2021-05-11,Terminated,NA,NA,Difficulty recruiting patients,FALSE,NA
NCT03471104,2021-05-11,Withdrawn,NA,NA,We have piloted the trial and concluded not to proceed to a fullscale trial.,FALSE,NA
NCT03528512,2021-05-11,Terminated,NA,NA,Staffing for study was eliminated,FALSE,NA
NCT03780647,2021-05-11,Terminated,NA,NA,"due to Covid19 pandemic , the inclusions slow down , and the rate of occupational problems exceeding by more than 300% changing the objective and the size of the study",TRUE,FALSE
NCT03786419,2021-05-11,Withdrawn,NA,NA,Publication of study results of ICI use in MPM as first line therapy,FALSE,NA
NCT03986944,2021-05-11,Terminated,NA,NA,Study halted due to the significant enrollment challenges encountered since its beginning. Screening and enrollment have been impacted by the COVID pandemic and more importantly by changes in the diagnosis and treatment of women with endometriosis.,TRUE,FALSE
NCT04049071,2021-05-11,Terminated,NA,NA,Covid-19,TRUE,FALSE
NCT04102449,2021-05-11,Withdrawn,NA,NA,Funding stopped,FALSE,NA
NCT04359511,2021-05-11,Withdrawn,NA,NA,COMPETITOR TEST (RECOVERY),FALSE,NA
NCT04372121,2021-05-11,Terminated,NA,NA,"This study is an extension of Study 18-OBE2109-002 that has been terminated due to enrolment challenges. Consequently, this study has also been terminated.",FALSE,NA
NCT04441788,2021-05-11,Terminated,NA,NA,Business Decision to Terminate Study,FALSE,NA
NCT04636268,2021-05-11,Suspended,NA,NA,"The sponsor put the study on hold, no participants have been recruited at the time of study halt",FALSE,NA
NCT01433991,2021-05-12,Terminated,NA,NA,Study was terminated by the sponsor early at the end of Phase 1b due to a change in corporate strategy.,FALSE,NA
NCT01875770,2021-05-12,Terminated,NA,NA,"The study was terminated as patients could not be followed-up during the COVID pandemic. Since this was a non-intervention study, as per Johns Hopkins University policy, we had to hold off the patient visits during the pandemic.",TRUE,FALSE
NCT01887899,2021-05-12,Withdrawn,NA,NA,Not funded,FALSE,NA
NCT01888029,2021-05-12,Withdrawn,NA,NA,Not funded,FALSE,NA
NCT01888055,2021-05-12,Withdrawn,NA,NA,Not funded,FALSE,NA
NCT02122185,2021-05-12,Suspended,NA,NA,Enrollment halted for planned interim analysis.,FALSE,NA
NCT03045848,2021-05-12,Terminated,NA,NA,Impossible device delivery because of sponsor change,FALSE,NA
NCT03049111,2021-05-12,Suspended,NA,NA,Suspended due to COVID-19 pandemic.,TRUE,FALSE
NCT03081923,2021-05-12,Terminated,NA,NA,loss of accrual,FALSE,NA
NCT03123588,2021-05-12,Terminated,NA,NA,Enrollment issues,FALSE,NA
NCT03395288,2021-05-12,Terminated,NA,NA,Performed a futility analysis and determined that study objectives could not be met.,FALSE,NA
NCT03849742,2021-05-12,Withdrawn,NA,NA,Low Accrual,FALSE,NA
NCT04418024,2021-05-12,Withdrawn,NA,NA,"After a careful review of the currently available treatments worldwide for patients with ATTR-polyneuropathy, Eidos has made the decision to halt the current study design.",FALSE,NA
NCT04487912,2021-05-12,Withdrawn,NA,NA,Insufficient patient inclusion,FALSE,NA
NCT04495738,2021-05-12,Terminated,NA,NA,Change in research focus,FALSE,NA
NCT04681456,2021-05-12,Terminated,NA,NA,The study was stopped in order to reconfigure it as a PhaseII/III study,FALSE,NA
NCT04818736,2021-05-12,Withdrawn,NA,NA,Vaccine roll out plans increased so timing was no longer feasible,FALSE,NA
NCT04889131,2021-05-12,Terminated,NA,NA,COVID-19 vulnerable participant population,TRUE,FALSE
NCT00590291,2021-05-13,Terminated,NA,NA,Sequencing completed early,FALSE,NA
NCT01859299,2021-05-13,Suspended,NA,NA,NA,FALSE,NA
NCT02047539,2021-05-13,Terminated,NA,NA,NA,FALSE,NA
NCT02112253,2021-05-13,Withdrawn,NA,NA,Lack of recruitment,FALSE,NA
NCT02259140,2021-05-13,Withdrawn,NA,NA,No patients have been enrolled since 2015. There has been difficulty recruiting patients for randomization. We have initiated a prospective cohort study evaluating salvage hip procedures for patients with cerebral palsy.,FALSE,NA
NCT02893982,2021-05-13,Terminated,NA,NA,Study was closed due to poor accrual,FALSE,NA
NCT02899533,2021-05-13,Terminated,NA,NA,The method did not help with assessing PAH and so the trial was terminated early.,FALSE,NA
NCT03001323,2021-05-13,Terminated,NA,NA,Enrollment was too low to provide statistically significant data,FALSE,NA
NCT03207347,2021-05-13,Suspended,2021-06-03,Recruiting,interim analysis,FALSE,NA
NCT03543046,2021-05-13,Terminated,NA,NA,PI left the institution,FALSE,NA
NCT04219748,2021-05-13,Terminated,NA,NA,Insufficient accrual rate to achieve expected sample size in the context of a global pandemic.,TRUE,FALSE
NCT04607200,2021-05-13,Withdrawn,NA,NA,Sponsor decision to delay the study,FALSE,NA
NCT04655599,2021-05-13,Terminated,NA,NA,Strategic business decision,FALSE,NA
NCT04731740,2021-05-13,Suspended,NA,NA,Financial problems,FALSE,NA
NCT01469663,2021-05-14,Terminated,NA,NA,software problem,FALSE,NA
NCT02319369,2021-05-14,Terminated,NA,NA,NA,FALSE,NA
NCT02362100,2021-05-14,Terminated,NA,NA,"Due to low recruitment, lack of funding, and challenges maintaining follow-up in this patient population, a decision was made to terminate this study.",FALSE,NA
NCT02410954,2021-05-14,Terminated,NA,NA,NA,FALSE,NA
NCT02580669,2021-05-14,Terminated,NA,NA,Inclusion period ended,FALSE,NA
NCT03377595,2021-05-14,Withdrawn,NA,NA,"Lack of resources, no data collected",FALSE,NA
NCT03472690,2021-05-14,Terminated,NA,NA,Corporate Decision to terminate study after Lead-In portion of the study completed.,FALSE,NA
NCT03508479,2021-05-14,Suspended,NA,NA,Suspended due to COVID-19.,TRUE,FALSE
NCT03552029,2021-05-14,Terminated,NA,NA,This study was terminated based on a business decision by the Sponsor.,FALSE,NA
NCT03611855,2021-05-14,Terminated,NA,NA,COVID-19 Pandemic,TRUE,FALSE
NCT03700892,2021-05-14,Terminated,NA,NA,"Covid-19 has been shown to increase risk associated with vaping. To increase participant safety and use real world vaping habits, the investigators plan to continue studying vaping effects on the airways in an observational format.",TRUE,FALSE
NCT03780543,2021-05-14,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT03924063,2021-05-14,Terminated,NA,NA,No suitable population available,FALSE,NA
NCT03958279,2021-05-14,Terminated,NA,NA,Due to covid pandemia related restrictions,TRUE,FALSE
NCT04052061,2021-05-14,Withdrawn,NA,NA,Trial not initiated,FALSE,NA
NCT04498520,2021-05-14,Withdrawn,NA,NA,Funding,FALSE,NA
NCT04893473,2021-05-14,Withdrawn,NA,NA,Send in by another researcher. This is terminated to avoid two identical studies,FALSE,NA
NCT02930343,2021-05-15,Terminated,NA,NA,"Due to time constraints, the study was halted prematurely",FALSE,NA
NCT03768219,2021-05-15,Terminated,NA,NA,Business decision,FALSE,NA
NCT00320931,2021-05-17,Terminated,NA,NA,NA,FALSE,NA
NCT01760356,2021-05-17,Terminated,NA,NA,NA,FALSE,NA
NCT02393833,2021-05-17,Terminated,NA,NA,Sufficient statistical power cannot be met due to low samples size,FALSE,NA
NCT03128554,2021-05-17,Terminated,NA,NA,Funding was withdrawn in January 2020. Covid-19 pandemic prevented the study from continuing to a point where it would need to be restarted. Multiple participants dropped out throughout pandemic.,TRUE,FALSE
NCT03231397,2021-05-17,Terminated,NA,NA,We were unable to recruit more subjects who met the inclusion/exclusion criteria and we have closed the study.,FALSE,NA
NCT03670030,2021-05-17,Terminated,NA,NA,Slow enrollment,FALSE,NA
NCT04003818,2021-05-17,Terminated,NA,NA,"Due to COVID-19 and great challenges during patient enrolment period, current status of this study is far behind the plan. The study cannot be completed according to the plan. Sanofi decides to terminate the study upon comprehensive assessment.",TRUE,FALSE
NCT04041505,2021-05-17,Terminated,NA,NA,"Interim analysis (n=40 24-hr sessions) yielded biologically implausible data. We do not deem this novel, at-home, participant-led method prudent. Study will continue with only secondary objectives; primary objective (RCT) terminated.",FALSE,NA
NCT04174846,2021-05-17,Withdrawn,NA,NA,Due to COVID-19,TRUE,FALSE
NCT04250818,2021-05-17,Suspended,NA,NA,PI is moving to a new institution,FALSE,NA
NCT04266457,2021-05-17,Suspended,NA,NA,Study stopped after ethical approval but before first patient gave consent due to pandemic,TRUE,FALSE
NCT04357496,2021-05-17,Withdrawn,NA,NA,study has never been started and was decided to be cancelled.,FALSE,NA
NCT04717804,2021-05-17,Suspended,2021-09-09,Recruiting,Temporarily suspended due to PI absence,FALSE,NA
NCT04893642,2021-05-17,Terminated,NA,NA,The study had planned to recruit 220 but was termianted in advance when 134 patients were randomized. This was done due to slow recruitment.,FALSE,NA
NCT01644253,2021-05-18,Terminated,NA,NA,Business decision,FALSE,NA
NCT02056288,2021-05-18,Terminated,NA,NA,Enrollment was suspended due to the duration of the study and poor follow-up response by participants.,FALSE,NA
NCT02512367,2021-05-18,Terminated,NA,NA,lack of inclusion,FALSE,NA
NCT02722616,2021-05-18,Suspended,NA,NA,Ultrasound vendor currently cannot support the study,FALSE,NA
NCT03099499,2021-05-18,Suspended,NA,NA,Slow accrual,FALSE,NA
NCT03115489,2021-05-18,Withdrawn,NA,NA,"Low eligibility of patients, no successful recruitment",FALSE,NA
NCT03252691,2021-05-18,Withdrawn,NA,NA,Site closure and no patient enrolled,FALSE,NA
NCT03350763,2021-05-18,Withdrawn,NA,NA,Investigators busy with other projects at the moment,FALSE,NA
NCT03358095,2021-05-18,Withdrawn,NA,NA,Investigators busy with other projects at the moment.,FALSE,NA
NCT03360851,2021-05-18,Terminated,NA,NA,COVID-19 pandemic has changed routine diagnostic workup of patients admitted with pneumonia. Continuation of the trial was felt to invalidate the study results.,TRUE,FALSE
NCT03463889,2021-05-18,Terminated,NA,NA,Funding,FALSE,NA
NCT03713021,2021-05-18,Terminated,NA,NA,Equipment unavailable,FALSE,NA
NCT03917810,2021-05-18,Suspended,2022-05-02,Completed,COVID-19 disrupting anticipated timelines,TRUE,FALSE
NCT04045821,2021-05-18,Terminated,NA,NA,low enrollment,FALSE,NA
NCT04053309,2021-05-18,Terminated,NA,NA,low enrollment,FALSE,NA
NCT04081090,2021-05-18,Terminated,NA,NA,Delay due to COVID. Lost funding.,TRUE,FALSE
NCT04168918,2021-05-18,Terminated,NA,NA,Most participants did not complete the post-intervention questionnaire,FALSE,NA
NCT04277936,2021-05-18,Terminated,NA,NA,Study was redesigned and submitted as a new protocol (NCT04559529).,FALSE,NA
NCT04496505,2021-05-18,Withdrawn,NA,NA,Unable to receive clearance from HCA administration,FALSE,NA
NCT04566926,2021-05-18,Terminated,NA,NA,business decision,FALSE,NA
NCT04598152,2021-05-18,Terminated,NA,NA,Covid restrictions prevented continuation during the funding window,TRUE,FALSE
NCT04896567,2021-05-18,Withdrawn,NA,NA,Superseded by a separate study,FALSE,NA
NCT04898764,2021-05-18,Suspended,2021-11-15,Recruiting,"Due to the COVID-19 pandemic, the study had to be temporarily halted due to a shortage in study site personnel and local hospital guidelines. We anticipate to resume the study when the COVID-19 pandemic is better controlled.",TRUE,TRUE
NCT02773966,2021-05-19,Terminated,NA,NA,Slow recruitment,FALSE,NA
NCT02995642,2021-05-19,Withdrawn,NA,NA,Resources not secured,FALSE,NA
NCT03246243,2021-05-19,Terminated,NA,NA,Difficulties in recruitment.,FALSE,NA
NCT03407950,2021-05-19,Withdrawn,NA,NA,The study stopped due to major feasibility issues and the notices was expired.,FALSE,NA
NCT03921801,2021-05-19,Suspended,NA,NA,Due to COVID-19 pandemic the recruitment was suspended.,TRUE,FALSE
NCT03983395,2021-05-19,Terminated,NA,NA,"The study was terminated during Part 1 (dose escalation), and Part 2 (expansion) of the study was not initiated. This study was voluntarily terminated due to a business decision not to proceed with the ISB 1302 asset, and not due to any safety issue.",FALSE,NA
NCT03994991,2021-05-19,Withdrawn,NA,NA,We weren't able to enroll patients due to COVID19 pandemic.,TRUE,FALSE
NCT04466917,2021-05-19,Withdrawn,NA,NA,Sponsor decision to early terminate the study,FALSE,NA
NCT04661917,2021-05-19,Withdrawn,NA,NA,Study withdrawn due to company decision,FALSE,NA
NCT01700569,2021-05-20,Terminated,NA,NA,changing the standard of care,FALSE,NA
NCT01727336,2021-05-20,Terminated,NA,NA,The study was terminated by the sponsor following unblinding of the Progression Free Survival endpoint.,FALSE,NA
NCT01782391,2021-05-20,Withdrawn,NA,NA,Lack of appropriate participants,FALSE,NA
NCT02062008,2021-05-20,Terminated,NA,NA,Lack of funding to continue.,FALSE,NA
NCT02860117,2021-05-20,Withdrawn,NA,NA,change in hospital policy,FALSE,NA
NCT02927405,2021-05-20,Withdrawn,NA,NA,"Did not get the study to take off, did not recruit any subjects, and then closed the study.",FALSE,NA
NCT03429374,2021-05-20,Terminated,NA,NA,Limited patient enrollment,FALSE,NA
NCT03444298,2021-05-20,Suspended,2022-03-17,Recruiting,The chambers for controlled air pollution exposure are paused due to Covid. The custom-made intervention has reached expiry and a resupply source under pursuit.,TRUE,FALSE
NCT03603288,2021-05-20,Terminated,NA,NA,Interim analysis concluded to futility of main study SIDEROS (SNT-III-012),FALSE,NA
NCT03757572,2021-05-20,Terminated,NA,NA,Early termination due to COVID-19 pandemic. Suspension of elective case operations. Decreased recruitment rate. Inability to reach the estimated sample size.,TRUE,FALSE
NCT03937908,2021-05-20,Terminated,NA,NA,Participant study visits not possible during COVID-19 pandemic. Funder not able to support a continuation at some future date.,TRUE,FALSE
NCT04311294,2021-05-20,Withdrawn,NA,NA,Project was not funded.,FALSE,NA
NCT04337385,2021-05-20,Terminated,NA,NA,COVID-19 resulted in laboratory closures and the student has changed their research project in order to progress in their degree.,TRUE,FALSE
NCT04400890,2021-05-20,Terminated,NA,NA,Feasibility,FALSE,NA
NCT04678505,2021-05-20,Terminated,NA,NA,Business reasons,FALSE,NA
NCT04764851,2021-05-20,Terminated,NA,NA,A number of subjects withdrew consent leaving the study without adequate power to achieve its primary end points.,FALSE,NA
NCT02225275,2021-05-21,Terminated,NA,NA,Due to slow accrual,FALSE,NA
NCT03068832,2021-05-21,Withdrawn,NA,NA,Made the decision to not go forward with the study,FALSE,NA
NCT03112902,2021-05-21,Terminated,NA,NA,Compelling insights impacting the scientific rationale,FALSE,NA
NCT03299309,2021-05-21,Suspended,2021-11-17,Recruiting,Delay in vialing of study vaccine,FALSE,NA
NCT03364738,2021-05-21,Terminated,NA,NA,The study was terminated due to Takeda commercial Natpara recall.,FALSE,NA
NCT03513068,2021-05-21,Terminated,NA,NA,COVID-19,TRUE,FALSE
NCT03652987,2021-05-21,Suspended,NA,NA,Covid19-related restrictions,TRUE,FALSE
NCT03716570,2021-05-21,Terminated,NA,NA,Affiliated study NCT03318523 did not meet its primary outcome measure of change from baseline measured by Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) and did not demonstrate efficacy on secondary outcome measures,FALSE,NA
NCT03936946,2021-05-21,Withdrawn,NA,NA,Resources not secured,FALSE,NA
NCT04115748,2021-05-21,Terminated,NA,NA,Development program terminated,FALSE,NA
NCT04236700,2021-05-21,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT04373044,2021-05-21,Terminated,NA,NA,The study was terminated after the release of results of ACTT-2 (NCT04401579).,FALSE,NA
NCT04391192,2021-05-21,Withdrawn,NA,NA,Sponsor determined that it must be terminated,FALSE,NA
NCT04639700,2021-05-21,Withdrawn,NA,NA,Funding unavailable,FALSE,NA
NCT04718467,2021-05-21,Withdrawn,NA,NA,Sponsor decided to cancel this trial.,FALSE,NA
NCT03098420,2021-05-23,Terminated,NA,NA,Low enrollment; recruitment challenges due to competing studies in women and infant center,FALSE,NA
NCT01194388,2021-05-24,Withdrawn,NA,NA,NA,FALSE,NA
NCT03341468,2021-05-24,Withdrawn,NA,NA,"PI confirmed no subjects consented and stated study not started due to insufficient staffing and once staff on board, the COVID-19 public health emergency occurred.",TRUE,FALSE
NCT03478813,2021-05-24,Withdrawn,NA,NA,The study was withdrawn because of too few eligible participants.,FALSE,NA
NCT03536182,2021-05-24,Withdrawn,NA,NA,Due to COVID and other recruitment issues the trial could not be initiated.,TRUE,FALSE
NCT03783754,2021-05-24,Terminated,NA,NA,Not feasible to continue,FALSE,NA
NCT04285710,2021-05-24,Withdrawn,NA,NA,This study was never started since the IRB application was not submitted and the PI left the institution.,FALSE,NA
NCT04292860,2021-05-24,Withdrawn,NA,NA,Principal Investigator decided not to move forward with the study,FALSE,NA
NCT04389840,2021-05-24,Terminated,NA,NA,Limited enrollment,FALSE,NA
NCT04530474,2021-05-24,Withdrawn,NA,NA,WHO report,FALSE,NA
NCT04905303,2021-05-24,Withdrawn,NA,NA,NA,FALSE,NA
NCT00490776,2021-05-25,Terminated,NA,NA,Recruitment was stopped on 15 June 2009 (early termination date) due to low prevalence of study population and slow accrual.,FALSE,NA
NCT02452567,2021-05-25,Withdrawn,NA,NA,Difficulty recruiting participants that met the inclusion criteria,FALSE,NA
NCT02796235,2021-05-25,Terminated,NA,NA,Difficulties of recruitment,FALSE,NA
NCT02981394,2021-05-25,Withdrawn,NA,NA,No active enrollment of patients.,FALSE,NA
NCT03886129,2021-05-25,Terminated,NA,NA,COVID19 affected recruitment,TRUE,FALSE
NCT03891420,2021-05-25,Terminated,NA,NA,Sponsor decision to no longer pursue indications studied in this trial,FALSE,NA
NCT04051801,2021-05-25,Withdrawn,NA,NA,Further development has been outlicensed to Acadia Pharmaceuticals,FALSE,NA
NCT04133350,2021-05-25,Terminated,NA,NA,Inability to Recruit,FALSE,NA
NCT04155190,2021-05-25,Terminated,NA,NA,Terminated early due to low blinded event rate,FALSE,NA
NCT04221828,2021-05-25,Terminated,NA,NA,Lack of enrollment,FALSE,NA
NCT04274166,2021-05-25,Withdrawn,NA,NA,"Contracting never completed, closed the IRB",FALSE,NA
NCT04409886,2021-05-25,Terminated,NA,NA,"This study is part of a larger national study. Only 1 patient was enrolled at Maimonides; Medical Center. The study was ended by the sponsor because the PI left; funding ended; , and no time, or personnel to do the study",FALSE,NA
NCT04416893,2021-05-25,Withdrawn,NA,NA,"With the rapid evolution of COVID-19, the objective was no longer relevant",FALSE,NA
NCT00001788,2021-05-26,Terminated,NA,NA,Investigator left NIH,FALSE,NA
NCT00948194,2021-05-26,Terminated,NA,NA,This study was terminated when the P.I. left the university.,FALSE,NA
NCT02164409,2021-05-26,Suspended,2021-06-23,Recruiting,Study halted administratively prematurely but potentially will resume,FALSE,NA
NCT02948426,2021-05-26,Terminated,NA,NA,Study was closed to accrual due to lack of drug supply.,FALSE,NA
NCT03201250,2021-05-26,Terminated,NA,NA,"Phase I response to treatment was not as expected and the myeloma field in treatment has changed since initiating the study, so investigators felt the study should not be pursued into Phase II.",FALSE,NA
NCT03253718,2021-05-26,Withdrawn,NA,NA,"Study withdrawn due to limited personnel, time, resources.",FALSE,NA
